Area Code,Element Code,Item Code,Year Code,Year,Value
100,5419,236,1980,1980,7270
100,5419,236,1981,1981,7411
100,5419,236,1982,1982,6377
100,5419,236,1983,1983,7348
100,5419,236,1984,1984,7683
100,5419,236,1985,1985,7644
100,5419,236,1986,1986,5838
100,5419,236,1987,1987,5823
100,5419,236,1988,1988,8922
100,5419,236,1989,1989,8014
100,5419,236,1990,1990,10145
100,5419,236,1991,1991,7825
100,5419,236,1992,1992,8947
100,5419,236,1993,1993,10857
100,5419,236,1994,1994,9106
100,5419,236,1995,1995,10121
100,5419,236,1996,1996,10319
100,5419,236,1997,1997,10789
100,5419,236,1998,1998,11001
100,5419,236,1999,1999,11380
100,5419,236,2000,2000,8222
100,5419,236,2001,2001,9400
100,5419,236,2002,2002,7624
100,5419,236,2003,2003,11929
100,5419,236,2004,2004,9082
100,5419,236,2005,2005,10734
100,5419,236,2006,2006,10628
100,5419,236,2007,2007,12351
100,5419,236,2008,2008,10415
100,5419,236,2009,2009,10236
100,5419,236,2010,2010,13330
100,5419,236,2011,2011,11998
100,5419,236,2012,2012,13530
100,5419,236,2013,2013,10123
100,5419,236,2014,2014,9358
100,5419,236,2015,2015,7344
100,5419,236,2016,2016,12181
100,5419,122,1961,1961,77362
100,5419,122,1962,1962,62174
100,5419,122,1963,1963,63910
100,5419,122,1964,1964,65769
100,5419,122,1965,1965,70839
100,5419,122,1966,1966,55363
100,5419,122,1967,1967,62961
100,5419,122,1968,1968,74619
100,5419,122,1969,1969,84539
100,5419,122,1970,1970,75395
100,5419,122,1971,1971,84029
100,5419,122,1972,1972,80104
100,5419,122,1973,1973,71910
100,5419,122,1974,1974,70776
100,5419,122,1975,1975,71948
100,5419,122,1976,1976,72061
100,5419,122,1977,1977,66409
100,5419,122,1978,1978,66744
100,5419,122,1979,1979,73806
100,5419,122,1980,1980,63374
100,5419,122,1981,1981,72034
100,5419,122,1982,1982,75512
100,5419,122,1983,1983,73230
100,5419,122,1984,1984,73510
100,5419,122,1985,1985,84688
100,5419,122,1986,1986,80457
100,5419,122,1987,1987,83601
100,5419,122,1988,1988,77582
100,5419,122,1989,1989,80750
100,5419,122,1990,1990,79663
100,5419,122,1991,1991,83453
100,5419,122,1992,1992,82835
100,5419,122,1993,1993,85962
100,5419,122,1994,1994,84823
100,5419,122,1995,1995,80643
100,5419,122,1996,1996,80716
100,5419,122,1997,1997,84850
100,5419,122,1998,1998,86907
100,5419,122,1999,1999,85744
100,5419,122,2000,2000,97421
100,5419,122,2001,2001,88368
100,5419,122,2002,2002,85694
100,5419,122,2003,2003,85694
100,5419,122,2004,2004,88588
100,5419,122,2005,2005,88477
100,5419,122,2006,2006,86849
100,5419,122,2007,2007,86976
100,5419,122,2008,2008,88943
100,5419,122,2009,2009,90080
100,5419,122,2010,2010,92069
100,5419,122,2011,2011,92456
100,5419,122,2012,2012,97174
100,5419,122,2013,2013,101288
100,5419,122,2014,2014,102756
100,5419,122,2015,2015,114766
100,5419,122,2016,2016,113231
100,5419,15,1961,1961,8507
100,5419,15,1962,1962,8896
100,5419,15,1963,1963,7929
100,5419,15,1964,1964,7299
100,5419,15,1965,1965,9132
100,5419,15,1966,1966,8268
100,5419,15,1967,1967,8874
100,5419,15,1968,1968,11028
100,5419,15,1969,1969,11688
100,5419,15,1970,1970,12086
100,5419,15,1971,1971,13066
100,5419,15,1972,1972,13799
100,5419,15,1973,1973,12708
100,5419,15,1974,1974,11719
100,5419,15,1975,1975,13384
100,5419,15,1976,1976,14103
100,5419,15,1977,1977,13866
100,5419,15,1978,1978,14798
100,5419,15,1979,1979,15683
100,5419,15,1980,1980,14356
100,5419,15,1981,1981,16299
100,5419,15,1982,1982,16913
100,5419,15,1983,1983,18158
100,5419,15,1984,1984,18432
100,5419,15,1985,1985,18701
100,5419,15,1986,1986,20460
100,5419,15,1987,1987,19162
100,5419,15,1988,1988,20019
100,5419,15,1989,1989,22444
100,5419,15,1990,1990,21211
100,5419,15,1991,1991,22814
100,5419,15,1992,1992,23940
100,5419,15,1993,1993,23267
100,5419,15,1994,1994,23796
100,5419,15,1995,1995,25590
100,5419,15,1996,1996,24828
100,5419,15,1997,1997,26789
100,5419,15,1998,1998,24852
100,5419,15,1999,1999,25901
100,5419,15,2000,2000,27785
100,5419,15,2001,2001,27081
100,5419,15,2002,2002,27621
100,5419,15,2003,2003,26100
100,5419,15,2004,2004,27132
100,5419,15,2005,2005,26016
100,5419,15,2006,2006,26188
100,5419,15,2007,2007,27079
100,5419,15,2008,2008,28022
100,5419,15,2009,2009,29071
100,5419,15,2010,2010,28395
100,5419,15,2011,2011,29886
100,5419,15,2012,2012,31775
100,5419,15,2013,2013,31538
100,5419,15,2014,2014,31457
100,5419,15,2015,2015,27496
100,5419,15,2016,2016,30930
